Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2025;Jan 2, 2025;45,690.25;17,953.50;38,142.75;374,339.25;23,370.50;924.75;-;0.00;6,235.50;26,614.75;101.25;5,826.00
Jan 2, 2025;Jan 3, 2025;48,905.75;19,064.75;102,003.75;201,708.25;10,610.25;917.00;-;0.00;7,938.25;52,250.50;5,091.75;6,118.25
Jan 3, 2025;Jan 4, 2025;48,348.75;18,561.50;69,513.25;260,667.50;7,608.25;955.75;-;0.00;8,758.75;62,553.25;2,889.50;6,090.00
Jan 4, 2025;Jan 5, 2025;50,610.50;19,699.00;33,398.75;107,727.25;7,992.25;977.00;-;0.00;24,054.50;62,394.25;5,747.50;4,723.00
Jan 5, 2025;Jan 6, 2025;48,647.75;18,861.00;90,736.75;211,298.75;1,964.25;932.50;-;0.00;8,316.25;37,341.00;1,576.75;4,711.00
Jan 6, 2025;Jan 7, 2025;46,468.00;20,447.75;93,497.25;405,379.00;15,347.00;922.25;-;0.00;7,122.50;29,253.75;2,893.75;4,707.00
Jan 7, 2025;Jan 8, 2025;47,347.50;21,510.75;67,205.25;384,429.75;13,951.25;923.50;-;0.00;7,089.25;46,446.25;5,394.75;4,140.00
Jan 8, 2025;Jan 9, 2025;48,025.00;21,656.25;63,112.00;277,159.75;10,800.75;941.75;-;0.00;16,928.25;89,720.75;3,492.50;6,453.00
Jan 9, 2025;Jan 10, 2025;48,881.25;25,504.50;43,738.00;129,704.00;14,674.25;912.75;-;0.00;32,112.50;72,274.00;5,109.50;7,151.00
Jan 10, 2025;Jan 11, 2025;49,215.25;22,664.50;69,864.25;199,106.50;13,744.25;952.50;-;0.00;27,762.00;64,725.25;4,721.25;6,609.75
Jan 11, 2025;Jan 12, 2025;48,176.25;19,544.50;33,563.00;192,047.25;22,035.00;961.75;-;0.00;30,775.25;79,931.00;940.00;6,338.75
Jan 12, 2025;Jan 13, 2025;48,975.00;19,290.00;10,735.25;98,319.50;30,642.75;958.75;-;0.00;30,420.50;67,130.00;3,049.25;5,460.00
Jan 13, 2025;Jan 14, 2025;49,305.50;21,871.75;87,247.00;100,762.75;32,676.00;935.50;-;0.00;23,904.75;90,704.00;5,470.00;5,295.25
Jan 14, 2025;Jan 15, 2025;49,989.50;23,970.75;105,361.50;217,071.00;23,624.25;971.25;-;0.00;21,802.25;111,896.75;5,312.00;8,106.00
Jan 15, 2025;Jan 16, 2025;50,645.50;27,808.00;18,621.75;58,093.50;7,644.50;946.75;-;0.00;34,273.25;135,854.25;5,957.50;4,583.25
Jan 16, 2025;Jan 17, 2025;49,585.75;26,134.50;65,707.25;55,971.00;21,401.25;948.50;-;0.00;26,243.50;118,001.50;5,481.50;4,639.25
Jan 17, 2025;Jan 18, 2025;50,235.50;29,183.75;63,924.75;31,362.25;12,211.25;966.25;-;0.00;27,957.50;112,856.00;5,961.00;4,978.00
Jan 18, 2025;Jan 19, 2025;49,769.00;25,183.75;10,686.50;29,484.00;33,109.25;968.50;-;0.00;20,556.75;105,918.25;2,783.75;5,102.25
Jan 19, 2025;Jan 20, 2025;48,733.00;23,348.75;4,481.25;54,343.00;47,666.75;887.25;-;0.00;27,705.25;76,366.75;1,366.50;5,077.00
Jan 20, 2025;Jan 21, 2025;50,878.50;29,089.50;20,771.75;20,995.75;31,686.25;941.25;-;0.00;37,961.75;107,314.25;7,264.00;1,615.50
Jan 21, 2025;Jan 22, 2025;50,581.75;28,511.00;92,077.50;39,773.00;27,434.50;962.25;-;0.00;31,052.75;118,485.50;5,615.00;5,079.25
Jan 22, 2025;Jan 23, 2025;50,340.50;25,410.00;22,423.75;107,361.75;28,369.00;947.75;-;0.00;39,282.00;113,373.75;4,072.00;4,860.50
Jan 23, 2025;Jan 24, 2025;49,942.00;20,617.25;71,182.00;260,860.25;12,764.25;933.50;-;0.00;26,217.75;86,383.25;1,999.50;5,629.00
Jan 24, 2025;Jan 25, 2025;49,054.75;19,254.00;95,197.25;353,419.75;25,387.25;925.50;-;0.00;18,713.75;54,451.75;2,336.75;4,659.50
Jan 25, 2025;Jan 26, 2025;50,296.75;17,851.50;86,253.00;161,017.25;21,009.00;843.75;-;0.00;17,858.00;42,021.75;5,803.75;5,256.00
Jan 26, 2025;Jan 27, 2025;49,381.75;16,861.50;51,739.50;108,448.50;16,756.00;918.00;-;0.00;15,159.75;34,726.50;1,304.50;5,161.00
Jan 27, 2025;Jan 28, 2025;48,272.00;17,796.25;107,149.00;329,404.25;20,270.25;917.00;-;0.00;12,482.50;29,736.25;3,326.75;5,087.00
Jan 28, 2025;Jan 29, 2025;49,448.75;21,207.50;117,438.75;202,951.25;16,037.25;922.25;-;0.00;17,770.50;49,676.00;5,183.50;4,954.00
Jan 29, 2025;Jan 30, 2025;48,644.25;22,684.75;83,684.75;265,840.50;24,792.75;924.75;-;0.00;23,223.00;55,146.75;4,107.25;6,684.25
Jan 30, 2025;Jan 31, 2025;49,434.50;21,958.50;75,438.00;125,498.25;30,162.50;946.25;-;0.00;34,917.75;85,896.25;5,020.25;3,598.75
Jan 31, 2025;Feb 1, 2025;49,530.50;22,134.25;50,045.50;138,685.75;33,778.25;939.75;-;0.00;33,315.25;76,621.50;4,669.50;3,756.25
Feb 1, 2025;Feb 2, 2025;49,176.75;22,033.00;2,742.25;28,161.25;54,629.50;956.25;-;0.00;36,014.25;64,340.50;3,537.75;3,493.00
Feb 2, 2025;Feb 3, 2025;48,847.25;21,194.25;15,774.00;17,912.75;53,933.75;962.25;-;0.00;35,484.25;61,010.00;3,165.75;3,682.00
Feb 3, 2025;Feb 4, 2025;50,098.00;23,728.25;32,554.25;20,957.00;35,772.50;841.75;-;0.00;35,385.50;109,756.50;6,499.75;4,838.25
Feb 4, 2025;Feb 5, 2025;50,010.75;24,329.50;110,362.25;93,774.25;23,802.00;886.50;-;0.00;23,846.50;100,779.75;4,673.50;3,675.75
Feb 5, 2025;Feb 6, 2025;50,331.00;24,293.50;64,955.25;110,673.00;25,185.00;961.50;-;0.00;29,398.50;109,697.75;4,192.00;3,664.00
Feb 6, 2025;Feb 7, 2025;50,273.75;23,303.25;43,831.75;73,002.25;20,974.00;942.75;-;0.00;37,542.25;109,487.25;4,428.75;3,165.25
Feb 7, 2025;Feb 8, 2025;48,852.25;20,034.00;123,022.75;296,474.50;31,205.50;950.00;-;0.00;13,295.50;50,374.50;2,790.25;4,680.00
Feb 8, 2025;Feb 9, 2025;49,523.75;20,028.75;101,574.00;187,544.25;62,483.50;949.75;-;0.00;12,798.00;51,130.50;2,622.75;4,657.00
Feb 9, 2025;Feb 10, 2025;49,774.50;18,717.25;89,720.75;124,873.00;44,820.75;957.00;-;0.00;16,612.75;74,762.25;1,990.25;4,656.00
Feb 10, 2025;Feb 11, 2025;49,819.75;18,810.25;103,396.25;256,204.00;34,284.50;946.50;-;0.00;19,345.50;60,295.50;3,444.00;4,600.00
Feb 11, 2025;Feb 12, 2025;49,079.50;23,551.00;74,565.75;262,186.00;22,213.25;942.75;-;0.00;25,328.25;94,792.25;5,553.50;4,377.00
Feb 12, 2025;Feb 13, 2025;50,062.75;22,772.00;122,564.00;165,006.25;17,864.25;919.75;-;0.00;18,971.75;90,597.00;3,889.25;3,087.00
Feb 13, 2025;Feb 14, 2025;51,182.00;28,013.25;51,010.50;68,029.50;11,756.50;934.25;-;0.00;32,270.50;105,798.25;5,488.25;3,072.00
Feb 14, 2025;Feb 15, 2025;50,996.50;27,893.25;5,391.50;24,869.75;12,316.50;968.50;-;0.00;35,327.75;120,739.50;6,050.25;3,264.00
Feb 15, 2025;Feb 16, 2025;50,395.25;22,494.25;11,621.25;8,507.50;25,071.75;974.00;-;0.00;36,585.75;74,223.25;3,216.50;6,165.50
Feb 16, 2025;Feb 17, 2025;49,476.50;18,868.50;46,404.75;85,133.00;40,193.75;974.50;-;0.00;33,249.25;63,631.00;1,804.50;6,752.25
Feb 17, 2025;Feb 18, 2025;50,952.00;20,520.50;6,078.50;35,739.25;77,316.00;979.00;-;0.00;32,437.50;103,595.75;5,788.25;6,773.75
Feb 18, 2025;Feb 19, 2025;50,004.00;20,105.50;43,490.50;81,237.00;85,730.50;956.75;-;0.00;29,132.75;91,282.75;3,935.50;3,413.00
Feb 19, 2025;Feb 20, 2025;49,903.00;18,736.00;130,856.25;247,397.00;90,820.50;959.50;-;0.00;17,073.75;50,040.75;3,021.00;4,363.25
Feb 20, 2025;Feb 21, 2025;50,454.00;18,163.75;122,902.75;185,140.75;44,765.00;929.75;-;0.00;14,421.50;48,407.25;4,834.50;3,552.00
Feb 21, 2025;Feb 22, 2025;49,819.75;17,220.25;122,708.50;191,830.25;66,184.50;920.75;-;0.00;7,723.00;36,626.50;3,251.75;3,552.00
Feb 22, 2025;Feb 23, 2025;49,363.00;17,229.75;99,958.50;182,160.25;57,794.50;887.00;-;0.00;7,248.75;23,140.25;4,630.25;3,889.00
